"","NAME","N","DHONDT","YEAR","PROVINCE","PARTY","PASSED","N.REL","RANK","LISTSUM","LISTPASSED","LISTSIZE","THRESHOLD","RANK.REL","PASSED.REL"
"1","Komi Katri",5885,"30759",2007,"ESA","KE",TRUE,1,1,30759,2,14,"15379.5",0,0.142857142857143
"2","Leppä Jari",5762,"15379.5",2007,"ESA","KE",TRUE,0.97909940526763,2,30759,2,14,"15379.5",0.0714285714285714,0.142857142857143
"3","Nousiainen Pekka",5267,"10253",2007,"ESA","KE",FALSE,0.894987255734919,3,30759,2,14,"15379.5",0.142857142857143,0.142857142857143
"4","Korhonen Seija",3401,"7689.75",2007,"ESA","KE",FALSE,0.577909940526763,4,30759,2,14,"15379.5",0.214285714285714,0.142857142857143
"5","Nenonen Jukka",2432,"6151.8",2007,"ESA","KE",FALSE,0.413254035683942,5,30759,2,14,"15379.5",0.285714285714286,0.142857142857143
"6","Kakriainen Markku",1954,"5126.5",2007,"ESA","KE",FALSE,0.332030586236194,6,30759,2,14,"15379.5",0.357142857142857,0.142857142857143
"7","Tulla Matti",1295,"4394.143",2007,"ESA","KE",FALSE,0.220050977060323,7,30759,2,14,"15379.5",0.428571428571429,0.142857142857143
"8","Auvinen Toni",940,"3844.875",2007,"ESA","KE",FALSE,0.159728122344945,8,30759,2,14,"15379.5",0.5,0.142857142857143
"9","Koikkalainen Jaro",860,"3417.667",2007,"ESA","KE",FALSE,0.146134239592184,9,30759,2,14,"15379.5",0.571428571428571,0.142857142857143
"10","Olkkonen Kirsi",854,"3075.9",2007,"ESA","KE",FALSE,0.145114698385726,10,30759,2,14,"15379.5",0.642857142857143,0.142857142857143
"11","Rautio-Teijonmaa Jaana",737,"2796.273",2007,"ESA","KE",FALSE,0.125233644859813,11,30759,2,14,"15379.5",0.714285714285714,0.142857142857143
"12","Varis Aira",721,"2563.25",2007,"ESA","KE",FALSE,0.122514868309261,12,30759,2,14,"15379.5",0.785714285714286,0.142857142857143
"13","Parkkisenniemi Mira",492,"2366.077",2007,"ESA","KE",FALSE,0.0836023789294817,13,30759,2,14,"15379.5",0.857142857142857,0.142857142857143
"14","Kopakkala Pirkko-Liisa",159,"2197.071",2007,"ESA","KE",FALSE,0.027017841971113,14,30759,2,14,"15379.5",0.928571428571429,0.142857142857143
"15","Räsänen Päivi",8053,"14576",2007,"HAM","KD",TRUE,1,1,14576,1,14,"11628",0,0.0714285714285714
"16","Mantere Leena",1287,"7288",2007,"HAM","KD",FALSE,0.159816217558674,2,14576,1,14,"11628",0.0714285714285714,0.0714285714285714
"17","Kaartinen Leena",810,"4858.667",2007,"HAM","KD",FALSE,0.100583633428536,3,14576,1,14,"11628",0.142857142857143,0.0714285714285714
"18","Sinivuori Timo",800,"3644",2007,"HAM","KD",FALSE,0.0993418601763318,4,14576,1,14,"11628",0.214285714285714,0.0714285714285714
"19","Rahkila Pekka",637,"2915.2",2007,"HAM","KD",FALSE,0.0791009561654042,5,14576,1,14,"11628",0.285714285714286,0.0714285714285714
"20","Kylliäinen Kylli",556,"2429.333",2007,"HAM","KD",FALSE,0.0690425928225506,6,14576,1,14,"11628",0.357142857142857,0.0714285714285714
"21","Mantere Heidi",398,"2082.286",2007,"HAM","KD",FALSE,0.0494225754377251,7,14576,1,14,"11628",0.428571428571429,0.0714285714285714
"22","Hartikka Yrjö",386,"1822",2007,"HAM","KD",FALSE,0.0479324475350801,8,14576,1,14,"11628",0.5,0.0714285714285714
"23","Puttonen Matti",380,"1619.556",2007,"HAM","KD",FALSE,0.0471873835837576,9,14576,1,14,"11628",0.571428571428571,0.0714285714285714
"24","Jalonen Pasi",339,"1457.6",2007,"HAM","KD",FALSE,0.0420961132497206,10,14576,1,14,"11628",0.642857142857143,0.0714285714285714
"25","Seesvaara Eero",315,"1325.091",2007,"HAM","KD",FALSE,0.0391158574444306,11,14576,1,14,"11628",0.714285714285714,0.0714285714285714
"26","Karisukki Katja",220,"1214.667",2007,"HAM","KD",FALSE,0.0273190115484912,12,14576,1,14,"11628",0.785714285714286,0.0714285714285714
