"","NAME","N","DHONDT","YEAR","PROVINCENUM","PROVINCE"
"1","HELSINKI - HELSINGFORS",NA,NA,2007,1,"HEL"
"2",NA,NA,NA,2007,1,"HEL"
"3","KESK - CENT",NA,NA,2007,1,"HEL"
"4","*Kiviniemi Mari",7385,21703,2007,1,"HEL"
"5","Vanhanen Merja",3274,10851.5,2007,1,"HEL"
"6","Peltokorpi Terhi",2539,7234.333,2007,1,"HEL"
"7","Väätäinen Juha",1698,5425.75,2007,1,"HEL"
"8","Nevamäki Riina",1115,4340.6,2007,1,"HEL"
"9","Kanerva Seppo",987,3617.167,2007,1,"HEL"
"10","Aaltola Anneli",741,3100.429,2007,1,"HEL"
"11","Huhtamäki Martti",543,2712.875,2007,1,"HEL"
"12","Halava Ilkka",419,2411.444,2007,1,"HEL"
"13","Savela Katri",384,2170.3,2007,1,"HEL"
"14","Joutsiniemi Marketta",352,1973,2007,1,"HEL"
"15","Alku Antero",344,1808.583,2007,1,"HEL"
"16","Holopainen Juha Matti",336,1669.462,2007,1,"HEL"
"17","Lazareva Ella",278,1550.214,2007,1,"HEL"
"18","Koistinen-Mandalios Riitta",229,1446.867,2007,1,"HEL"
"19","Tunturi Anna-Riitta",216,1356.438,2007,1,"HEL"
"20","Koskela Vesa",206,1276.647,2007,1,"HEL"
"21","Hasan Alisha",181,1205.722,2007,1,"HEL"
"22","Hwang Dae-Jin",175,1142.263,2007,1,"HEL"
"23","Kulmanen Ilari",170,1085.15,2007,1,"HEL"
"24","Partanen Eila",131,1033.476,2007,1,"HEL"
"25",NA,NA,NA,2007,1,"HEL"
"26","KOK  - SAML",NA,NA,2007,1,"HEL"
"27","*Zyskowicz Ben",17607,94581,2007,1,"HEL"
"28","*Sarkomaa Sari",9155,47290.5,2007,1,"HEL"
"29","*Vapaavuori Jan",9091,31527,2007,1,"HEL"
"30","*Salolainen Pertti",8621,23645.25,2007,1,"HEL"
"31","*Asko-Seljavaara Sirpa",6293,18916.2,2007,1,"HEL"
"32","*Perkiö Sanna",5639,15763.5,2007,1,"HEL"
"33","*Hakola Juha",4258,13511.571,2007,1,"HEL"
"34","*Karhuvaara Arja",4069,11822.625,2007,1,"HEL"
"35","Valtonen Olli",3826,10509,2007,1,"HEL"
"36","Suomalainen Nina",3579,9458.1,2007,1,"HEL"
"37","Vuento Marja",3039,8598.273,2007,1,"HEL"
"38","Backlund Lotta",2967,7881.75,2007,1,"HEL"
"39","Luukkainen Hannele",2910,7275.462,2007,1,"HEL"
"40","Rihtniemi Suvi",2525,6755.786,2007,1,"HEL"
"41","Lahti Jere",2330,6305.4,2007,1,"HEL"
"42","Valavuori Aleksi",2166,5911.313,2007,1,"HEL"
"43","Nurmela Tuomas",1807,5563.588,2007,1,"HEL"
"44","Piepponen Anna Kaarina",1720,5254.5,2007,1,"HEL"
"45","Koskinen Kauko",1644,4977.947,2007,1,"HEL"
"46","Bergroth Maj",821,4729.05,2007,1,"HEL"
"47","Karlstedt Jorma",514,4503.857,2007,1,"HEL"
"48",NA,NA,NA,2007,1,"HEL"
"49","SDP",NA,NA,2007,1,"HEL"
"50","*Tuomioja Erkki",12894,67122,2007,1,"HEL"
"51","*Heinäluoma Eero",10948,33561,2007,1,"HEL"
"52","*Haatainen Tuula",6686,22374,2007,1,"HEL"
"53","*Hiltunen Rakel",6205,16780.5,2007,1,"HEL"
"54","*Lipponen Päivi",4202,13424.4,2007,1,"HEL"
"55","Söderman Jacob",3902,11187,2007,1,"HEL"
"56","Bryggare Arto",3857,9588.857,2007,1,"HEL"
"57","Taipale Ilkka",3525,8390.25,2007,1,"HEL"
"58","Pajamäki Osku",2524,7458,2007,1,"HEL"
"59","Oksa Mirka",1928,6712.2,2007,1,"HEL"
"60","Puura Heli",1865,6102,2007,1,"HEL"
"61","Anttila Maija",1479,5593.5,2007,1,"HEL"
"62","Wallgren Thomas",1169,5163.231,2007,1,"HEL"
"63","Osman-Sovala Zahra",1035,4794.429,2007,1,"HEL"
"64","Välimäki Heta",1035,4474.8,2007,1,"HEL"
"65","Saksala Harri",836,4195.125,2007,1,"HEL"
"66","Kantola Tarja",814,3948.353,2007,1,"HEL"
"67","Jouhki Hannu",736,3729,2007,1,"HEL"
"68","Mäenpää Anna",656,3532.737,2007,1,"HEL"
"69","Malinen Jouko",509,3356.1,2007,1,"HEL"
"70","Beurling Juha",317,3196.286,2007,1,"HEL"
"71",NA,NA,NA,2007,1,"HEL"
"72","VAS - VÄNST - LEFT",NA,NA,2007,1,"HEL"
"73","*Arhinmäki Paavo",6859,21366,2007,1,"HEL"
"74","Puhakka Sirpa",3866,10683,2007,1,"HEL"
"75","Aarnipuu Tiia",1842,7122,2007,1,"HEL"
"76","Saarnio Pekka",1507,5341.5,2007,1,"HEL"
"77","Vikstedt Tea",1053,4273.2,2007,1,"HEL"
"78","Siimes Hanna-Kaisa",884,3561,2007,1,"HEL"
"79","Mielonen Mikko",754,3052.286,2007,1,"HEL"
"80","Jokinen Orvokki",633,2670.75,2007,1,"HEL"
"81","Eräsaari Leena",617,2374,2007,1,"HEL"
"82","Mänttäri Alina",545,2136.6,2007,1,"HEL"
"83","Kajos Miina",493,1942.364,2007,1,"HEL"
"84","Ravela Reko",413,1780.5,2007,1,"HEL"
"85","Asikainen Kirsi",300,1643.538,2007,1,"HEL"
"86","Honka Eero",281,1526.143,2007,1,"HEL"
"87","Lumberg Kirsti (Kiba)",273,1424.4,2007,1,"HEL"
"88","Tammisto Anna",266,1335.375,2007,1,"HEL"
"89","Buttler Pekka",231,1256.824,2007,1,"HEL"
"90","Vasankari Jaakko",206,1187,2007,1,"HEL"
"91","Saari Juhani",127,1124.526,2007,1,"HEL"
"92","Nyström Nils",121,1068.3,2007,1,"HEL"
"93","Rezov Elena",95,1017.429,2007,1,"HEL"
"94",NA,NA,NA,2007,1,"HEL"
"95","VIHR - GRÖNA - GREENS",NA,NA,2007,1,"HEL"
"96","*Brax Tuija",9692,63440,2007,1,"HEL"
"97","*Sinnemäki Anni",7694,31720,2007,1,"HEL"
"98","*Haavisto Pekka",5418,21146.667,2007,1,"HEL"
"99","*Sumuvuori Johanna",5173,15860,2007,1,"HEL"
"100","*Alanko-Kahiluoto Outi",4622,12688,2007,1,"HEL"
"101","Relander Jukka",4403,10573.333,2007,1,"HEL"
"102","Abdulla Zahra",4198,9062.857,2007,1,"HEL"
"103","Krohn Minerva",3938,7930,2007,1,"HEL"
"104","Puoskari Mari",3934,7048.889,2007,1,"HEL"
"105","Lehtipuu Otto",2361,6344,2007,1,"HEL"
"106","Moisio Elina",2121,5767.273,2007,1,"HEL"
"107","Hellström Sanna",1824,5286.667,2007,1,"HEL"
"108","Ingervo Sirkku",1816,4880,2007,1,"HEL"
"109","Helistö Kimmo",1314,4531.429,2007,1,"HEL"
"110","Ylikahri Ville",979,4229.333,2007,1,"HEL"
"111","Johansson Frank",866,3965,2007,1,"HEL"
"112","Könkkölä Kalle",799,3731.765,2007,1,"HEL"
"113","Laakso Tapio",739,3524.444,2007,1,"HEL"
"114","Ovaskainen Kai",678,3338.947,2007,1,"HEL"
"115","Korpela Heikki",480,3172,2007,1,"HEL"
"116","Jantunen Tuomo",391,3020.952,2007,1,"HEL"
"117",NA,NA,NA,2007,1,"HEL"
"118","KD",NA,NA,2007,1,"HEL"
"119","Pohtamo-Hietanen Anne",2582,8796,2007,1,"HEL"
"120","Keskitalo Timo",749,2932,2007,1,"HEL"
"121","Röyskö Heini",583,2199,2007,1,"HEL"
"122","Holmi Markku",518,1759.2,2007,1,"HEL"
"123","Molander Helena",518,1466,2007,1,"HEL"
"124","Laitinen Juhani",499,1256.571,2007,1,"HEL"
"125","Kiviluoto Hilkka",433,1099.5,2007,1,"HEL"
"126","Rahkonen Jaakko",268,977.333,2007,1,"HEL"
"127","Björklund Irina",220,879.6,2007,1,"HEL"
"128","Ruokonen Saara",199,799.636,2007,1,"HEL"
"129","Erävalo Esa",184,733,2007,1,"HEL"
"130","Mattila Pentti",165,676.615,2007,1,"HEL"
"131","Kuvaja Pekka",160,628.286,2007,1,"HEL"
"132","Kärmeranta Jussi",151,586.4,2007,1,"HEL"
"133","Kyröhonka Santeri",147,549.75,2007,1,"HEL"
"134","Raassina Asser",142,517.412,2007,1,"HEL"
"135","Heickell Ingrid",127,488.667,2007,1,"HEL"
"136","Silvander Iiro",123,462.947,2007,1,"HEL"
"137","Laine Arttu",75,439.8,2007,1,"HEL"
"138","Laire Julia",60,418.857,2007,1,"HEL"
"139",NA,NA,NA,2007,1,"HEL"
"140","RKP - SFP",NA,NA,2007,1,"HEL"
"141","*Thors Astrid",5938,18894,2007,1,"HEL"
"142","Björnberg-Enckell Maria",2425,9447,2007,1,"HEL"
"143","Torvalds Nils",1682,6298,2007,1,"HEL"
"144","Moberg Frank",1052,4723.5,2007,1,"HEL"
"145","Renlund Martin",870,3778.8,2007,1,"HEL"
"146","Granberg-Haakana Charlotte (Lotte)",792,3149,2007,1,"HEL"
"147","Brettschneider Gunvor",760,2699.143,2007,1,"HEL"
"148","Finne-Elonen Laura",758,2361.75,2007,1,"HEL"
"149","Buchert Magnus",683,2099.333,2007,1,"HEL"
"150","Forsman Jonas",679,1889.4,2007,1,"HEL"
"151","Österberg Marianne",610,1717.636,2007,1,"HEL"
"152","Wulff Antonia",547,1574.5,2007,1,"HEL"
"153","Sandberg Johanna",436,1453.385,2007,1,"HEL"
"154","Viglione Petri",322,1349.571,2007,1,"HEL"
"155","Hagert Richard",318,1259.6,2007,1,"HEL"
"156","Löfström Mats",243,1180.875,2007,1,"HEL"
"157","Wenman Lena",225,1111.412,2007,1,"HEL"
"158","Hamberg Andreas",178,1049.667,2007,1,"HEL"
"159","Sandström Christian",164,994.421,2007,1,"HEL"
"160","Rosengren Bodil",133,944.7,2007,1,"HEL"
"161","Liedenpohja Ketevan",79,899.714,2007,1,"HEL"
"162",NA,NA,NA,2007,1,"HEL"
"163","PS - SAF",NA,NA,2007,1,"HEL"
"164","Halla-aho Jussi",2215,9415,2007,1,"HEL"
"165","Sysimetsä Ilkka (Frederik)",1225,4707.5,2007,1,"HEL"
"166","Sademies Olli",892,3138.333,2007,1,"HEL"
"167","Elo Timo",771,2353.75,2007,1,"HEL"
"168","Rossi Johanna",742,1883,2007,1,"HEL"
"169","Mattila Jukka I.",461,1569.167,2007,1,"HEL"
"170","Holmström Martti",434,1345,2007,1,"HEL"
"171","Kujanpää-Kyyhkynen Leila",346,1176.875,2007,1,"HEL"
"172","Välikangas Arto",321,1046.111,2007,1,"HEL"
"173","Salo Marianne",298,941.5,2007,1,"HEL"
"174","Leino Kimmo",273,855.909,2007,1,"HEL"
"175","Ristola Tommi",179,784.583,2007,1,"HEL"
"176","Koskinen Arto",178,724.231,2007,1,"HEL"
"177","Kähärä-Zekki Jyndi Marika",171,672.5,2007,1,"HEL"
"178","Valpas Antti",162,627.667,2007,1,"HEL"
"179","Kaltiainen Seppo",157,588.438,2007,1,"HEL"
"180","Junnila Markku",125,523.056,2007,1,"HEL"
"181","Ohayon Liana Kaarina  (Lian",121,495.526,2007,1,"HEL"
"182","Kähärä Ari",117,470.75,2007,1,"HEL"
"183",NA,NA,NA,2007,1,"HEL"
"184","SKP - FKP",NA,NA,2007,1,"HEL"
"185","Lampela Seppo (Steen 1)",1842,4495,2007,1,"HEL"
"186","Hakanen Yrjö",1114,2247.5,2007,1,"HEL"
"187","Pakkasvirta Anneli  (Anneli Saul",273,1498.333,2007,1,"HEL"
"188","Grönroos Irene",183,1123.75,2007,1,"HEL"
"189","Takkinen Heikki",172,899,2007,1,"HEL"
"190","Sandberg Tiina",120,749.167,2007,1,"HEL"
"191","Salava Hannele",92,642.143,2007,1,"HEL"
"192","Lappi Jussi-Petteri",82,561.875,2007,1,"HEL"
