"5. Ehdokkaiden saamat äänimäärät suuruusjärjestyksessä sekä vertausluku"

"Ehdokas";"Äänimäärä";"Vertausluku";"Valintatieto"
"Tuomioja Erkki / SDP / Helsingin vaalipiiri";11154;55874.000;1
"Heinäluoma Eero / SDP / Helsingin vaalipiiri";9703;27937.000;1
"Haatainen Tuula / SDP / Helsingin vaalipiiri";6662;18624.667;1
"Razmyar Nasima / SDP / Helsingin vaalipiiri";5156;13968.500;1
"Torsti Pilvi / SDP / Helsingin vaalipiiri";3451;11174.800;2
"Arajärvi Pentti / SDP / Helsingin vaalipiiri";3107;9312.333;3
"Lipponen Päivi / SDP / Helsingin vaalipiiri";2651;7982.000;3
"Lovén Jape / SDP / Helsingin vaalipiiri";1470;6984.250;3
"Vepsä Sinikka / SDP / Helsingin vaalipiiri";1452;6208.222;3
"Vainikka Mirka / SDP / Helsingin vaalipiiri";1429;5587.400;3
"Järvinen Jukka / SDP / Helsingin vaalipiiri";1358;5079.455;3
"Paavolainen Sara / SDP / Helsingin vaalipiiri";1230;4656.167;3
"Laisaari Johanna / SDP / Helsingin vaalipiiri";1092;4298.000;3
"Wallgren Thomas / SDP / Helsingin vaalipiiri";1026;3991.000;3
"Sevander Tomi / SDP / Helsingin vaalipiiri";980;3724.933;3
"Taipale Kaarin / SDP / Helsingin vaalipiiri";722;3492.125;3
"Toijonen Karita / SDP / Helsingin vaalipiiri";651;3286.706;3
"Castén Nina / SDP / Helsingin vaalipiiri";645;3104.111;3
"Meretniemi Jaakko / SDP / Helsingin vaalipiiri";563;2940.737;3
"Jalovaara Ville / SDP / Helsingin vaalipiiri";542;2793.700;3
"Niemi Matti / SDP / Helsingin vaalipiiri";481;2660.667;3
"Nehri Welat / SDP / Helsingin vaalipiiri";349;2539.727;3
"Terho Sampo / PS / Helsingin vaalipiiri";10067;40583.000;1
"Packalén Tom / PS / Helsingin vaalipiiri";5089;20291.500;1
"Raatikainen Mika / PS / Helsingin vaalipiiri";3370;13527.667;1
"Rantanen Mari / PS / Helsingin vaalipiiri";3100;10145.750;2
"Hursti René / PS / Helsingin vaalipiiri";2732;8116.600;3
"Hyttinen Nuutti / PS / Helsingin vaalipiiri";2192;6763.833;3
"Korhonen Antti / PS / Helsingin vaalipiiri";1816;5797.571;3
"Kanerva Seppo / PS / Helsingin vaalipiiri";1335;5072.875;3
"Juurikko Krista / PS / Helsingin vaalipiiri";1333;4509.222;3
"Kopra Pia / PS / Helsingin vaalipiiri";1320;4058.300;3
"Huru Nina / PS / Helsingin vaalipiiri";1190;3689.364;3
"Kantola Helena / PS / Helsingin vaalipiiri";1172;3381.917;3
"Niskanen Aleksi / PS / Helsingin vaalipiiri";933;3121.769;3
"Landén Maria / PS / Helsingin vaalipiiri";811;2898.786;3
"Saarikangas Markku / PS / Helsingin vaalipiiri";760;2705.533;3
"Sorja Marika / PS / Helsingin vaalipiiri";583;2536.438;3
"Salo Tuula / PS / Helsingin vaalipiiri";572;2387.235;3
"Ekqvist Marko / PS / Helsingin vaalipiiri";515;2254.611;3
"Valpas Antti / PS / Helsingin vaalipiiri";476;2135.947;3
"Sademies Olli / PS / Helsingin vaalipiiri";462;2029.150;3
"Keto Jarmo / PS / Helsingin vaalipiiri";444;1932.524;3
"Ahlavuo Valentina / PS / Helsingin vaalipiiri";311;1844.682;3
"Ebeling Mika / KD / Helsingin vaalipiiri";1308;6735.000;3
"Mäkimattila Sari / KD / Helsingin vaalipiiri";1283;3367.500;3
"Ronkainen Remo / KD / Helsingin vaalipiiri";525;2245.000;3
"Elmolhoda Mikael / KD / Helsingin vaalipiiri";489;1683.750;3
"Simojoki Hanna-Kaisa / KD / Helsingin vaalipiiri";353;1347.000;3
"Tepora Tuulikki / KD / Helsingin vaalipiiri";344;1122.500;3
"Liukkonen Jani / KD / Helsingin vaalipiiri";302;841.875;3
"Linjamaa Suvi / KD / Helsingin vaalipiiri";283;748.333;3
"Happonen Jaakob / KD / Helsingin vaalipiiri";259;673.500;3
"Cacho Janika / KD / Helsingin vaalipiiri";219;612.273;3
"Pietikäinen Petteri / KD / Helsingin vaalipiiri";150;561.250;3
"Auvinen Tuomas / KD / Helsingin vaalipiiri";137;518.077;3
"Forsberg Andreas / KD / Helsingin vaalipiiri";135;481.071;3
"Pennanen-Aitta Paula / KD / Helsingin vaalipiiri";125;449.000;3
"Hiienkoski Petteri / KD / Helsingin vaalipiiri";123;420.938;3
"Lehti Soili / KD / Helsingin vaalipiiri";99;396.176;3
"Simi-Kim Päivi / KD / Helsingin vaalipiiri";95;374.167;3
"el-Khouri Elie / KD / Helsingin vaalipiiri";76;354.474;3
"Nurkkala Risto / KD / Helsingin vaalipiiri";37;336.750;3
"Samppala Seppo / KD / Helsingin vaalipiiri";35;320.714;3
"Nikulainen Terho / KD / Helsingin vaalipiiri";30;306.136;3
"Pelkonen Jaana / KOK / Helsingin vaalipiiri";15964;93392.000;1
"Zyskowicz Ben / KOK / Helsingin vaalipiiri";15395;46696.000;1
"Vartiainen Juhana / KOK / Helsingin vaalipiiri";11436;31130.667;1
"Sarkomaa Sari / KOK / Helsingin vaalipiiri";7052;23348.000;1
"Rydman Wille / KOK / Helsingin vaalipiiri";4524;18678.400;1
"Salolainen Pertti / KOK / Helsingin vaalipiiri";4502;15565.333;1
"Koulumies Terhi / KOK / Helsingin vaalipiiri";4148;13341.714;2
"Räty Laura / KOK / Helsingin vaalipiiri";4092;11674.000;3
"Hetemaj Fatbardhe / KOK / Helsingin vaalipiiri";3554;10376.889;3
"Harkimo Joel / KOK / Helsingin vaalipiiri";3319;9339.200;3
"Korhola Eija-Riitta / KOK / Helsingin vaalipiiri";3059;8490.182;3
"Parpala Matti / KOK / Helsingin vaalipiiri";2712;7782.667;3
"Hakola Juha / KOK / Helsingin vaalipiiri";2138;7184.000;3
"Suomalainen Nina / KOK / Helsingin vaalipiiri";1802;6670.857;3
"Karhuvaara Arja / KOK / Helsingin vaalipiiri";1619;6226.133;3
"Muurinen Seija / KOK / Helsingin vaalipiiri";1575;5837.000;3
"Sazonov Daniel / KOK / Helsingin vaalipiiri";1455;5493.647;3
"Majuri Pekka / KOK / Helsingin vaalipiiri";1363;5188.444;3
"Nieminen Jarmo / KOK / Helsingin vaalipiiri";1280;4915.368;3
"Ruokanen Tapani / KOK / Helsingin vaalipiiri";1129;4669.600;3
"Rasi Marjatta / KOK / Helsingin vaalipiiri";780;4447.238;3
"Larsson Tiina / KOK / Helsingin vaalipiiri";494;4245.091;3
"Rehn Olli / KESK / Helsingin vaalipiiri";6837;25947.000;1
"Lehtomäki Paula / KESK / Helsingin vaalipiiri";4531;12973.500;2
"Puska Pekka / KESK / Helsingin vaalipiiri";2708;8649.000;3
"Peltokorpi Terhi / KESK / Helsingin vaalipiiri";1848;6486.750;3
"Kolbe Laura / KESK / Helsingin vaalipiiri";1564;5189.400;3
"Mohamed Abdirahim (Husu) / KESK / Helsingin vaalipiiri";1349;4324.500;3
"Vuorinen Markku / KESK / Helsingin vaalipiiri";1067;3706.714;3
"Laaninen Timo / KESK / Helsingin vaalipiiri";745;3243.375;3
"Majuri Anne / KESK / Helsingin vaalipiiri";730;2883.000;3
"Latikka Timo / KESK / Helsingin vaalipiiri";659;2594.700;3
"Kettunen Anne / KESK / Helsingin vaalipiiri";634;2358.818;3
"Säkkinen Teppo / KESK / Helsingin vaalipiiri";555;2162.250;3
"Eskelinen Riku / KESK / Helsingin vaalipiiri";500;1995.923;3
"Pakkanen Leena / KESK / Helsingin vaalipiiri";433;1853.357;3
"Hietalahti Niina / KESK / Helsingin vaalipiiri";363;1729.800;3
"Rantamaula Ville-Veikko / KESK / Helsingin vaalipiiri";330;1621.688;3
"Porttila Jari / KESK / Helsingin vaalipiiri";318;1526.294;3
"Huttula Tapio / KESK / Helsingin vaalipiiri";245;1441.500;3
"Päivike Taru / KESK / Helsingin vaalipiiri";243;1365.632;3
"Kananen Johannes / KESK / Helsingin vaalipiiri";117;1297.350;3
"Grimm Karl-Mikael / KESK / Helsingin vaalipiiri";98;1235.571;3
"Satti Juho / KESK / Helsingin vaalipiiri";73;1179.409;3
"Arhinmäki Paavo / VAS / Helsingin vaalipiiri";7910;35435.000;1
"Modig Silvia / VAS / Helsingin vaalipiiri";6190;17717.500;1
"Honkasalo Veronika / VAS / Helsingin vaalipiiri";5369;11811.667;2
"Kivelä Mai / VAS / Helsingin vaalipiiri";4683;8858.750;3
"Koivulaakso Dan / VAS / Helsingin vaalipiiri";2610;7087.000;3
"Patomäki Heikki / VAS / Helsingin vaalipiiri";1608;5905.833;3
"Haglund Mia / VAS / Helsingin vaalipiiri";779;5062.143;3
"Muttilainen Sami (Frank) / VAS / Helsingin vaalipiiri";749;4429.375;3
"Korkkula Vesa / VAS / Helsingin vaalipiiri";724;3937.222;3
"Vuorjoki Anna / VAS / Helsingin vaalipiiri";650;3543.500;3
"Malin Petra / VAS / Helsingin vaalipiiri";646;3221.364;3
"Arajärvi Mirja / VAS / Helsingin vaalipiiri";518;2952.917;3
"Pihlaja Kirsi / VAS / Helsingin vaalipiiri";496;2725.769;3
